Feature,Chi2_Score,F_Score,RF_Importance,Abs_Correlation,Chi2_Score_Normalized,F_Score_Normalized,RF_Importance_Normalized,Abs_Correlation_Normalized,Average_Score
CI3a33-2,3339390.381845625,134.48102592862182,0.002721868277782809,0.03358061132151197,0.0024889469062227636,0.012545400235599224,0.019582963432197883,0.1790426550701335,0.053414991411038344
CI3a11-2,1662097.9178612912,255.5945851896541,0.016967466210203848,0.00163383197309883,0.0012388109396846048,0.023856251811696875,0.17312310511014792,0.007559780008737759,0.05144448696756679
PAIa16-2,7316.7449443169435,1342.3892858191039,0.002578717674838999,0.008053719427661558,5.453308005034204e-06,0.12535251389425517,0.01804007530903567,0.04202024146159736,0.04635457099322331
CI3a32-3,2309485.2420065408,58.707654275203666,0.006149792749613931,0.022715462857049323,0.0017213279697035466,0.005468889847979453,0.05652939499393816,0.12072106727140874,0.04611017002075747
CI3a32-4,15168819.892298702,110.69619656013207,0.008292293154004742,0.015646349906147477,0.011305772601317165,0.010324123969000773,0.07962142785881093,0.08277571447907445,0.04600675972705083
PTIa43,770032.1404899237,935.7519765317041,0.0052527125275374665,0.008817820902444977,0.0005739277802142213,0.08737646663153274,0.04686059589912201,0.04612176031285589,0.04523318765593121
PAIa22-R2,2689.598388619582,1008.6411321003839,0.0026251497317511872,0.01227694272392438,2.004558036898377e-06,0.09418361873881696,0.018540523561928656,0.06468952104596919,0.04435391697618793
CI3a23-2,979719.6736719105,256.28472392259795,0.014109978987264817,0.002044448435830861,0.0007302141361087492,0.02392070418864684,0.14232488975026608,0.00976387359854517,0.044184920418391706
CI3a32-2,82451298.61572476,302.5799266813776,0.004939025799856107,0.008152576521458742,0.061453405394102996,0.02824423468585006,0.043479656408960295,0.04255088332942612,0.04393204495458487
PAIa14-4,732111.5408915153,31.042459826760176,0.011559328562414881,0.008491286531134694,0.0005456644293385772,0.002885224483511013,0.11483378481664357,0.04436899981740914,0.04065841838672558
CI3a21-2,96614.45873829389,290.1614722469195,0.005427111746024511,0.01594752872255883,7.200955036618983e-05,0.027084469455848435,0.048740283985368164,0.08439237225801807,0.04007228381240022
CI3a22-6,400756.4793992933,281.9131236861324,0.007382774601979285,0.01174519975589939,0.0002986956454439165,0.026314152351073202,0.0698185674945651,0.06183524857123428,0.03956666601557912
